# list of object assets to load in this scene
[ASSETS]
mario.txt
coin.txt
cloud.txt
brick.txt
goomba.txt
clound.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = coin
# See OBJECT_TYPE constants in AssetIDs.h
#Brick
1	1952	178
1	1968	178
1	1984	178
1	2000	178
1	2016	178
1	2032	178
1	2048	178
1	2096	178
1	2112	178

1	1968	162
1	1984	162
1	2000	162
1	2016	162
1	2032	162
1	2096	162


1	1984	146
1	2000	146
1	2016	146
1	2032	146

#Coin
4	1073	114
4	1105	82
4	1137	50
4	1169	18
4	1201	-14

4	1329	-126
4	1345	-126
4	1361	-126



4	1473	-107
4	1489	-107

4	1537	-90
4	1553	-90
4	1569	-90
4	1585	-90

4	1617	-107
4	1633	-107
4	1649	-107
4	1665	-107

4	1697	-73

4	1729	-107

4	1761	-90

4	1809	-124

4	1841	-90


#Plant
6	161	178
6	177	178
6	193	178
6	672	162
6	688	162
6	704	162
6	720	162
6	736	162
6	752	162
6	1040	162
6	1056	162
6	1184	178
6	1200	178
6	1216	178
6	1728	178
6	1744	178
6	1760	178
6	1776	178


#sand
7	1568	178
7	1584	178
7	1600	178

7	1584	162
7	1600	162

7	1600	146



7	1664	178
7	1681	178
7	1696	178

7	1664	162
7	1681	162

7	1664	146

7	1504	114
7	1520	114

7	2257	146
7	2273	146

7	2257	83
7	2273	83

#cloudsimle
8	1408	-30
8	1424	-30
8	1440	-30
8	1456	-30


8	1488	-46
8	1504	-46
8	1520	-46
8	1536	-46
8	1552	-46
8	1568	-46
8	1584	-46
8	1600	-46
8	1616	-46
8	1632	-46
8	1648	-46
8	1664	-46
8	1680	-46

#mysterybox
9	176	130
9	192	130

9	224	82
9	240	82

9	416	96

9	656	162

9	704	130	

9	1472	130

9	1440	-107


#Goomba
2	180	120
2	160	120
2	140	120

#pip
202	353	178
203	369	178
202	353	162
203	369	162
200	353	146
201	369	146

202	1792	178
203	1808	178
200	1792	162
201	1808	162

202	1856	178
203	1872	178
202	1856	162
203	1872	162
200	1856	146
201	1872	146

202	2257	178
203	2273	178
202	2257	162
203	2273	162


202	2320	178
203	2336	178
200	2320	162
201	2336	162


202	2257	67
203	2273	67
202	2257	51
203	2273	51
202	2257	35
203	2273	35
202	2257	19
203	2273	19
202	2257	3
203	2273	3
202	2257	-13
203	2273	-13
202	2257	-29
203	2273	-29
202	2257	-45
203	2273	-45
202	2257	-61
203	2273	-61
202	2257	-77
203	2273	-77
202	2257	-93
203	2273	-93
200	2257	-109
201	2273	-109

#clound
210	120	51
211	136	51
211	152	51
212	168	51
213	120	67
214	136	67
214	152	67
215	168	67


210	328	35
211	344	35
212	360	35
213	328	51
214	344	51
215	360	51

210	648	51
211	664	51
212	680	51
213	648	67
214	664	67
215	680	67

210	728	100
211	744	100
211	760	100
211	776	100
212	792	100
213	728	116
214	744	116
214	760	116
214	776	116
215	792	116

210	1176	51
211	1192	51
212	1208	51
213	1176	67
214	1192	67
215	1208	67

210	1656	51
211	1672	51
211	1688	51
211	1704	51
212	1720	51
213	1656	67
214	1672	67
214	1688	67
214	1704	67
215	1720	67

210	2328	66
211	2344	66
212	2360	66
213	2328	82
214	2344	82
215	2360	82
#blue-shape
320	272	114
321	288	114
322	304	114
323	272	130
324	288	130
325	304	130
323	272	146
324	288	146
325	304	146
323	272	162
324	288	162
325	304	162
326	272	178
327	288	178
328	304	178
#skin-shape
310	240	146
311	256	146
312	272	146
313	240	162
314	256	162
315	272	162
316	240	178
317	256	178
318	272	178
# MARIO
0	300	-80

#Platform
5	0	194	16	16	39	80001	80002	80003
5	624	178	16	16	29	80001	80002	80003
5	624	189	16	16	29	80004	80005	80006
5	624	205	16	16	29	80004	80005	80006
5	1152	194	16	16	22	80001	80002	80003
5	1536	194	16	16	5	80001	80002	80003
5	1664	194	16	16	36	80001	80002	80003
5	2256	194	16	16	35	80001	80002	80003


